location_x,location_y
-272.7181606691329,-381.0638590812068
-134.3166216591979,-464.4276734626329
-51.5992803110889,-513.4726623987062
-17.692913914430367,-532.403893818244
-27.502996501532447,-524.6367060618718
-59.12992078943928,-503.86353395072075
-90.30292750435275,-483.6389986834545
-107.73081975459498,-471.6519149617137
-109.12229255276051,-469.174520610159
-100.05955208718372,-473.45324112761824
-88.18249202503281,-479.85182191294564
-78.87330811779103,-484.4630839126735
-74.3435749602923,-485.8224269894467
-74.19086151210588,-484.49095438129524
-76.36805009308333,-481.87386787968364
-78.47177953994273,-479.33827390840696
-79.01179409012626,-477.6334631946498
-77.90523497266399,-476.89649009953035
-75.86922070791147,-476.9128793331487
-73.7162125274135,-477.1950352752808
-71.7492910787021,-477.2082173742113
-70.22554053677143,-476.73985992672556
-69.16752401173345,-475.9819848913023
-68.38295489662188,-475.20111133765863
-67.59042285647904,-474.4825311662272
-66.474195635967,-473.80432494015497
-65.179641023938,-473.2274069277982
-63.93677819477976,-472.79405664649227
-62.67047827990119,-472.3660230128519
-61.337062894505365,-471.8862359978105
-60.19018703774094,-471.4109557269773
-59.051558024424075,-470.81341256739637
-57.76162262162669,-470.02979842689393
-56.547654616719434,-469.23000831032795
-55.43847661872564,-468.53450157287654
-54.2105233541938,-467.896018024208
-52.983573285337386,-467.50794042656474
-51.8411403398823,-467.19557092709516
-50.7410739840705,-466.7719800601353
-49.45984425650077,-466.2023687312694
-48.14044612835549,-465.50665048780183
-46.903322677796936,-464.76936619553345
-45.74624384629658,-464.0339552274881
-44.508240387379374,-463.3101536883893
-43.239333032466604,-462.75979662805685
-42.07095139944841,-462.3316699121062
-41.00075680606582,-461.8959434732895
-40.036915217316746,-461.4570732871564
-38.93320272790419,-460.8933964566806
-37.72883097710161,-460.1910522628769
-36.54069814561572,-459.53746586140295
-35.265821897484436,-458.9020992422076
-34.10821895662852,-458.40470793282844
-32.906566439046514,-457.903270719778
-31.688082185552272,-457.3765002824001
-30.47651390881096,-456.8396311247437
-29.300636912539417,-456.34469533443377
-28.154344728594072,-455.79405547785854
-26.886684238660973,-455.13733198917635
-25.59829554688832,-454.4316689937187
-24.354868144669236,-453.7331527055223
-23.230631631420643,-453.2862646976533
-22.359317313709244,-453.2996190971743
-21.979985601817646,-453.70561967068136
-21.48812517002094,-454.56991742079686
-20.79474979665718,-455.8234034498209
-20.042241025799367,-457.0239908619373
-19.320501649406115,-458.084718930397
-18.833052964279997,-458.8496944175522
-18.443407936372353,-459.63224770182256
-18.000763339350968,-460.70430560407993
-17.39742620698022,-462.0381194869823
-16.740941028007054,-463.43503999726386
-16.080990115353153,-464.7977990955857
-15.5189053903657,-465.90543061364554
-14.917461997010383,-467.06824011910254
-14.193580830702473,-468.10315464819575
-13.452794339273021,-468.63056991359997
-12.803602485169788,-468.5843321566436
-11.63926729209324,-468.20296990143095
-9.963326834702798,-467.58751113778237
-8.154892048196302,-466.9442458492115
-6.986507812025287,-466.5153927694953
-5.952558421318482,-466.15389777851203
-4.602157062135088,-465.82559503042853
-3.2456213402632916,-465.7803472508649
-2.254705716431865,-466.07443140372806
-1.2808309473863262,-466.6331573764483
-0.07675116083513553,-467.46929036842516
0.9779424323961856,-468.5354055633538
1.4259272142490378,-469.43231693239363
1.4195036039352824,-470.47969029010034
1.0188196269803418,-471.8150793807094
0.24691112476598476,-473.1879085731225
-0.6825322294393832,-474.307703139791
-1.6975431250855393,-475.2194655292354
-2.7162805653834035,-476.0650826187766
-3.62942771207872,-476.9027073143775
-4.492179334993598,-477.8619069554749
-5.409322447460134,-478.8809728455056
-6.2389721577310135,-479.5869057628342
-7.16184344270918,-480.2477226578888
-8.071240087782089,-481.08933596821214
-8.789544288950333,-482.0920500967183
-9.287969393916521,-483.2918847625424
-9.381144488518736,-484.5784539677625
-9.017862596661196,-485.56239725092723
-8.416627488553946,-486.65037145631
-7.7701567199813875,-488.0040765362249
-7.144638144644509,-489.3763081728486
-6.537545321248151,-490.4384583064021
-5.908487619974975,-490.9681250376172
-4.958314897977294,-491.2759841584153
-3.6053863229325533,-491.60520026621833
-1.9718986889777903,-491.965555440445
-0.4083097093659629,-492.18489607814814
0.8968277822755467,-492.2476483777568
2.106148434218573,-492.26795418028115
3.4481776333382075,-492.31415013784783
4.70467757207844,-492.4684582479603
5.858301790011208,-492.71695639239294
7.075113479947896,-493.0330925708316
8.461170549645903,-493.39160227780235
10.007842368275487,-493.8447788255689
11.182075802176303,-494.3826908115439
11.998443242060812,-494.96792618551405
12.860948387687634,-495.69491607199484
13.80603959782442,-496.51675115037915
14.935585281208517,-497.50909295463475
16.137950172760263,-498.5881531165511
17.217887745029177,-499.43847476495534
18.26105319793687,-500.2361640195547
19.171561758641303,-501.17723841742065
19.90377174725251,-502.10458836379087
20.663520069469506,-502.96962407354664
21.65120944440023,-503.6362806290866
22.86211988236889,-503.9968220225386
24.145569955442177,-503.9782090981126
25.326544130833238,-503.56039689449005
